InfomationStyle=1
(Description:1--Origin Path;2--Effective Centre Line;3--Effective Contours Line;4--Tape Centre Line;5--TreeInfo)
MeshDATAFile=E:\huangwei\SoftwareCheck202111\NewModelTest20220513\20jqd_r18_202220612_DATA\Plies Group.1_STLMeshData.stl
Placement Parameter Output:
Width=6.35 mm	Gap=0.200 mm	TapNums=8 
NormalTag=0
Model Information Output:
ModelName=Plies Group.1\Sequence.2\Ply.2
PointNum=6739 	EdgeNum=19897 	FacetNum=13158 
AngelStart=45 deg
TotalNum=70
Output Start
tiaoshu=1	dianshu=199
x=1845.320216	y=567.717935	z=-8.738564	Nx=-0.002194	Ny=0.972452	Nz=0.233091	FaceNum=12803
x=1858.836221	y=572.432402	z=-28.299635	Nx=-0.000985	Ny=0.972337	Nz=0.233581	FaceNum=12802
x=1876.520855	y=578.390797	z=-53.017803	Nx=0.001498	Ny=0.972199	Nz=0.234152	FaceNum=12802
x=1889.107738	y=582.613455	z=-70.615167	Nx=0.003001	Ny=0.972092	Nz=0.234581	FaceNum=12666
x=1896.236642	y=584.988789	z=-80.585879	Nx=0.003418	Ny=0.972236	Nz=0.233979	FaceNum=12911
x=1907.643782	y=588.627956	z=-95.866948	Nx=0.004388	Ny=0.972265	Nz=0.233842	FaceNum=12911
x=1918.049123	y=591.900673	z=-109.817510	Nx=0.005215	Ny=0.972479	Nz=0.232931	FaceNum=12888
x=1920.863255	y=592.797794	z=-113.587403	Nx=0.006041	Ny=0.972689	Nz=0.232032	FaceNum=12933
x=1922.309192	y=593.246775	z=-115.527386	Nx=0.006682	Ny=0.972946	Nz=0.230938	FaceNum=12079
x=1934.361870	y=596.970431	z=-131.702774	Nx=0.006783	Ny=0.973285	Nz=0.229502	FaceNum=12078
x=1946.613501	y=600.642257	z=-147.663325	Nx=0.007896	Ny=0.973562	Nz=0.228285	FaceNum=12078
x=1950.433676	y=601.802402	z=-152.636201	Nx=0.008090	Ny=0.973717	Nz=0.227619	FaceNum=12077
x=1967.908363	y=606.919353	z=-175.430880	Nx=0.008619	Ny=0.974603	Nz=0.223774	FaceNum=11982
x=1973.510161	y=608.554162	z=-182.739439	Nx=0.008866	Ny=0.974981	Nz=0.222113	FaceNum=11977
x=1978.759607	y=610.059866	z=-189.474908	Nx=0.009054	Ny=0.975144	Nz=0.221386	FaceNum=11977
x=2000.756311	y=616.149788	z=-217.750966	Nx=0.009663	Ny=0.976676	Nz=0.214499	FaceNum=11745
x=2007.759403	y=618.031076	z=-226.766543	Nx=0.008373	Ny=0.978975	Nz=0.203807	FaceNum=11746
x=2010.914256	y=618.875996	z=-230.828583	Nx=0.007035	Ny=0.981172	Nz=0.193008	FaceNum=11995
x=2011.547352	y=619.037643	z=-231.607089	Nx=0.005480	Ny=0.983134	Nz=0.182802	FaceNum=11995
x=2013.407174	y=619.401420	z=-233.915705	Nx=0.000917	Ny=0.988286	Nz=0.152608	FaceNum=9304
x=2015.313230	y=619.760360	z=-236.283948	Nx=-0.004874	Ny=0.993709	Nz=0.111891	FaceNum=9303
x=2017.267739	y=619.888514	z=-238.733157	Nx=-0.014982	Ny=0.998966	Nz=0.042920	FaceNum=9707
x=2019.129978	y=619.995599	z=-241.066960	Nx=-0.024026	Ny=0.999467	Nz=-0.022119	FaceNum=9706
x=2020.983305	y=619.878549	z=-243.378020	Nx=-0.031571	Ny=0.996591	Nz=-0.076222	FaceNum=9199
x=2022.988391	y=619.732668	z=-245.876022	Nx=-0.039811	Ny=0.989573	Nz=-0.138421	FaceNum=9200
x=2024.734671	y=619.401296	z=-248.012831	Nx=-0.046346	Ny=0.981120	Nz=-0.187766	FaceNum=9659
x=2026.902071	y=618.966640	z=-250.658802	Nx=-0.054437	Ny=0.966125	Nz=-0.252267	FaceNum=9658
x=2028.531241	y=618.459709	z=-252.587832	Nx=-0.059896	Ny=0.953348	Nz=-0.295871	FaceNum=9145
x=2030.882711	y=617.701217	z=-255.361155	Nx=-0.067647	Ny=0.929918	Nz=-0.361493	FaceNum=9146
x=2032.380379	y=617.065152	z=-257.053462	Nx=-0.072021	Ny=0.914254	Nz=-0.398687	FaceNum=9608
x=2034.939355	y=615.949150	z=-259.928420	Nx=-0.079258	Ny=0.882139	Nz=-0.464272	FaceNum=9607
x=2036.286981	y=615.237098	z=-261.361638	Nx=-0.082595	Ny=0.865097	Nz=-0.494758	FaceNum=9091
x=2039.077516	y=613.732170	z=-264.306821	Nx=-0.089165	Ny=0.824218	Nz=-0.559209	FaceNum=9092
x=2040.252998	y=613.002265	z=-265.467065	Nx=-0.091559	Ny=0.807282	Nz=-0.583021	FaceNum=9557
x=2043.298975	y=611.080547	z=-268.444936	Nx=-0.097326	Ny=0.757700	Nz=-0.645304	FaceNum=9556
x=2044.277603	y=610.393921	z=-269.328392	Nx=-0.098907	Ny=0.742262	Nz=-0.662770	FaceNum=9037
x=2047.601717	y=608.032861	z=-272.295060	Nx=-0.103758	Ny=0.684120	Nz=-0.721952	FaceNum=9038
x=2048.357163	y=607.450940	z=-272.909083	Nx=-0.104680	Ny=0.671422	Nz=-0.733645	FaceNum=9506
x=2051.616407	y=604.916806	z=-275.523367	Nx=-0.106314	Ny=0.641112	Nz=-0.760048	FaceNum=9505
x=2051.976126	y=604.634435	z=-275.814180	Nx=-0.108515	Ny=0.604908	Nz=-0.788867	FaceNum=9505
x=2052.477642	y=604.215598	z=-276.177581	Nx=-0.108949	Ny=0.596015	Nz=-0.795547	FaceNum=8983
x=2056.378326	y=600.935765	z=-278.961886	Nx=-0.111682	Ny=0.521358	Nz=-0.845998	FaceNum=8984
