InfomationStyle=1
(Description:1--Origin Path;2--Effective Centre Line;3--Effective Contours Line;4--Tape Centre Line;5--TreeInfo)
Placement Parameter Output:
Width=6.35 mm	Gap=0.200 mm	TapNums=8 
NormalTag=0
Model Information Output:
PointNum=6729 	EdgeNum=19867 	FacetNum=13138 
AngelStart=0 deg
TotalNum=2
Output Start
tiaoshu=1	dianshu=51
x=1192.951382	y=531.668709	z=177.014824	Nx=0.049040	Ny=0.955446	Nz=0.291063	FaceNum=12399
x=1208.469702	y=531.985510	z=173.447971	Nx=0.047178	Ny=0.955767	Nz=0.290318	FaceNum=12399
x=1331.834750	y=534.999712	z=145.181623	Nx=0.036847	Ny=0.958205	Nz=0.283699	FaceNum=12375
x=1361.308274	y=535.858809	z=138.395761	Nx=0.033941	Ny=0.958909	Nz=0.281677	FaceNum=12398
x=1514.230112	y=541.748995	z=102.437439	Nx=0.022021	Ny=0.962575	Nz=0.270120	FaceNum=12390
x=1667.211921	y=549.291205	z=66.481363	Nx=0.006476	Ny=0.967632	Nz=0.252281	FaceNum=12347
x=1718.211603	y=551.850117	z=55.646139	Nx=0.002190	Ny=0.969095	Nz=0.246676	FaceNum=12406
x=1769.211380	y=554.416998	z=45.295779	Nx=-0.002117	Ny=0.970700	Nz=0.240286	FaceNum=12383
x=1820.210809	y=557.054571	z=35.328286	Nx=-0.006390	Ny=0.972123	Nz=0.234386	FaceNum=12381
x=1871.208495	y=559.785958	z=25.679292	Nx=-0.009879	Ny=0.973687	Nz=0.227674	FaceNum=12379
x=1922.204243	y=562.563445	z=16.418321	Nx=-0.014453	Ny=0.975522	Nz=0.219429	FaceNum=12340
x=1973.195853	y=565.289235	z=7.632841	Nx=-0.017109	Ny=0.976754	Nz=0.213679	FaceNum=12919
x=2024.182424	y=567.975615	z=-0.452716	Nx=-0.019704	Ny=0.977895	Nz=0.208167	FaceNum=12859
x=2075.161872	y=570.570127	z=-7.657476	Nx=-0.021640	Ny=0.979018	Nz=0.202622	FaceNum=12635
x=2126.133908	y=573.001852	z=-13.778806	Nx=-0.023183	Ny=0.980116	Nz=0.197067	FaceNum=12611
x=2177.098050	y=575.219206	z=-18.675842	Nx=-0.024491	Ny=0.981247	Nz=0.191193	FaceNum=12615
x=2228.056459	y=577.220381	z=-22.316048	Nx=-0.025049	Ny=0.982445	Nz=0.184864	FaceNum=12619
x=2279.010431	y=578.951920	z=-24.570409	Nx=-0.024861	Ny=0.983727	Nz=0.177941	FaceNum=12602
x=2329.963103	y=580.441450	z=-25.724365	Nx=-0.023900	Ny=0.985009	Nz=0.170836	FaceNum=12858
x=2380.916776	y=581.646655	z=-25.693128	Nx=-0.022077	Ny=0.986239	Nz=0.163842	FaceNum=12854
x=2431.876192	y=582.526554	z=-24.481097	Nx=-0.019174	Ny=0.987455	Nz=0.156733	FaceNum=12570
x=2482.843815	y=583.022740	z=-21.991576	Nx=-0.014167	Ny=0.988617	Nz=0.149784	FaceNum=12575
x=2533.820753	y=583.067716	z=-18.251755	Nx=-0.009561	Ny=0.989501	Nz=0.144207	FaceNum=12847
x=2584.809138	y=582.622083	z=-13.248338	Nx=-0.001326	Ny=0.990197	Nz=0.139668	FaceNum=12900
x=2635.806077	y=581.644764	z=-6.888565	Nx=0.006932	Ny=0.990826	Nz=0.134962	FaceNum=12839
x=2686.804866	y=580.000939	z=0.891739	Nx=0.015802	Ny=0.991013	Nz=0.132829	FaceNum=12460
x=2737.794192	y=577.651527	z=10.145445	Nx=0.027747	Ny=0.990912	Nz=0.131623	FaceNum=12494
x=2835.077175	y=570.848917	z=32.319127	Nx=0.049158	Ny=0.990034	Nz=0.131973	FaceNum=12487
x=2839.703109	y=570.484818	z=33.449558	Nx=0.050645	Ny=0.989953	Nz=0.132019	FaceNum=12488
x=2840.012487	y=570.461869	z=33.525329	Nx=0.052471	Ny=0.989713	Nz=0.133094	FaceNum=12488
x=2858.647464	y=568.773675	z=38.053119	Nx=0.057646	Ny=0.989348	Nz=0.133666	FaceNum=12483
x=2860.438317	y=568.633635	z=38.490894	Nx=0.058169	Ny=0.989314	Nz=0.133698	FaceNum=12484
x=2881.559181	y=566.617182	z=43.611143	Nx=0.064215	Ny=0.988825	Nz=0.134539	FaceNum=12481
x=2881.984332	y=566.582150	z=43.714867	Nx=0.064342	Ny=0.988816	Nz=0.134550	FaceNum=12482
x=2888.035892	y=565.980387	z=45.179345	Nx=0.066109	Ny=0.988661	Nz=0.134833	FaceNum=12435
x=2893.025342	y=565.483261	z=46.386726	Nx=0.067533	Ny=0.988530	Nz=0.135083	FaceNum=12435
x=2893.416628	y=565.439318	z=46.480816	Nx=0.067644	Ny=0.988520	Nz=0.135102	FaceNum=12479
x=2913.754136	y=563.333375	z=51.393048	Nx=0.073563	Ny=0.987941	Nz=0.136239	FaceNum=12480
x=2916.638860	y=562.991043	z=52.084490	Nx=0.074389	Ny=0.987857	Nz=0.136397	FaceNum=12478
x=2917.261485	y=562.915543	z=52.233535	Nx=0.074569	Ny=0.987837	Nz=0.136444	FaceNum=12430
x=2927.099326	y=561.848892	z=54.603873	Nx=0.077481	Ny=0.987529	Nz=0.137052	FaceNum=12429
x=2936.424894	y=560.817924	z=56.848496	Nx=0.080276	Ny=0.987220	Nz=0.137666	FaceNum=12471
x=2939.058329	y=560.488000	z=57.477695	Nx=0.081041	Ny=0.987131	Nz=0.137854	FaceNum=12472
x=2947.798558	y=559.495462	z=59.578375	Nx=0.083689	Ny=0.986825	Nz=0.138467	FaceNum=12473
x=2951.131187	y=559.067778	z=60.373444	Nx=0.084667	Ny=0.986706	Nz=0.138719	FaceNum=12474
x=2966.736000	y=557.123406	z=64.103458	Nx=0.089394	Ny=0.986096	Nz=0.140081	FaceNum=12470
x=2972.848368	y=556.395582	z=65.568445	Nx=0.091265	Ny=0.985858	Nz=0.140550	FaceNum=12498

Output End
